"id","fk_lijsten_parent","naam","bron","zie_naam","is_alias","app_state"
"306","11","Laurens Jansz Costerprijs",,,NULL,"1"
"307","11","Theaterafficheprijs",,,NULL,"1"
"308","11","Golden Globe, Art Directors Club Nederland",,,NULL,"1"
"309","11","Ridder in de Orde van Oranje Nassau",,,NULL,"1"
"311","11","Advertentie-jaarprijs, Genootschap voor de Reclame",,,NULL,"1"
"312","11","Rizzoliprijs",,,NULL,"1"
"313","11","Bührmann-Ubbens papierprijs",,,NULL,"1"
"314","10","ontwerpbureau",,,NULL,"1"
"315","4","Eindhoven",,,NULL,"1"
"316","3","fotografie",,,NULL,"1"
"317","3","illustratie",,,NULL,"1"
"319","10","gemeentearchief",,,NULL,"1"
"320","10","universiteitsbliotheek",,,NULL,"1"
"321","10","museum",,,NULL,"1"
"322","10","reclamebureau",,,NULL,"1"
"323","10","binderij",,,NULL,"1"
"324","80","artikel in tijdschrift",,,NULL,"1"
"325","80","artikel in krant",,,NULL,"1"
"326","2","toegekend",,,NULL,"1"
"327","10","overig",,,NULL,"1"
"328","5","gesneden",,,NULL,"1"
"329","3","tekst",,,NULL,"1"
"330","3","art direction",,,NULL,"1"
"331","6","plakband",,,NULL,"1"
"332","3","concept",,,NULL,"1"
"333","3","lay-out",,,NULL,"1"
"334","3","typografie",,,NULL,"1"
"335","1","foto",,,NULL,"1"
"336","1","bewegwijzering",,,NULL,"1"
"337","1","lettertype","A&amp;AT",,NULL,"1"
"341","1","maquette",,,NULL,"1"
"342","10","archief",,,NULL,"1"
"343","3","samenstelling",,,NULL,"1"
"346","3","coördinatie",,,NULL,"1"
"349","4","Alphen aan den Rijn",,,NULL,"1"
"350","4","Nijmegen",,,NULL,"1"
"352","4","Wormer",,,NULL,"1"
"353","4","Onbekend",,,NULL,"1"
"354","4","Amstelveen",,,NULL,"1"
"355","1","strooibiljet","A&amp;AT: 27033",,NULL,"1"
"356","1","insigne",,,NULL,"1"
"357","1","meubel",,,NULL,"1"
"358","6","klei","A&amp;AT: 10439",,NULL,"1"
"359","1","munt","A&amp;AT: 37222",,NULL,"1"
"360","10","galerie",,,NULL,"1"
"371","9","Redelijk",NULL,NULL,NULL,"1"
"372","5","spiraalband kunststof",NULL,NULL,NULL,"1"
"374","11","Typomundus 20/II",,,NULL,"1"
"375","11","Biennale Brno (Tsjechoslowakije)",,,NULL,"1"
"376","11","Kieler Woche international design competition",,,NULL,"1"
"377","11","Biennale Ljubljana",,,NULL,"1"
"378","11","Grafische Cultuurprijs",,,NULL,"1"
"379","11","Exempla '72, München",,,NULL,"1"
"380","11","Gouden noot voor verpakkingen",,,NULL,"1"
"381","11","50 Best verzorgde boeken van de wereld",,,NULL,"1"
"383","3","redactie",,,NULL,"1"
"385","4","Leiden",,,NULL,"1"
"386","11","Graficus Kalenderprijsvraag","Ben Bos",,NULL,"1"
"387","11","Novi Sad, Special Golden Forma","Ben Bos",,NULL,"1"
"388","11","ICT Antwerpen, World Logotype Design Award","Ben Bos",,NULL,"1"
"389","1","button","A&amp;AT 207332",,NULL,"1"
"390","5","reliëfdruk","Huib van Krimpen's Het Vergeetboekje",,NULL,"1"
"391",NULL,"thesaurus term",NULL,NULL,NULL,"1"
"392","5","vlakdruk",,,NULL,"1"
"393","3","bindwerk",,,NULL,"1"
"394","4","Zaandam",,,NULL,"1"
"395","4","Amersfoort",,,NULL,"1"
"396","4","Deventer",,,NULL,"1"
"397","4","Den Bosch",,,NULL,"1"
"398","4","Providence, Rhode Island, USA",,,NULL,"1"
"399","1","visitekaartje",,,NULL,"1"
"400","4","Groningen",,,NULL,"1"
"401","11","Affiche-jaarprijs Genootschap voor Reclame","Mode en Module",,NULL,"1"
"402","11","Genootschap voor Reclame","Mode en module",,NULL,"1"
"403","11","Art Directors Club New York","Mode en module",,NULL,"1"
"404","11","Duwaerprijs","Mode en module",,NULL,"1"
"405","11","Art Directors Club Nederland","Mode en module",,NULL,"1"
"406","11","Japanese Typographic Association","Mode en module",,NULL,"1"
"407","11","International Centre for Typographic Arts","Mode en module",,NULL,"1"
"408","11","Internationale Poster Biennale Warschau","Mode en module",,NULL,"1"
"409","11","Willem Grollenbergprijs","Mode en module",,NULL,"1"
"410","11","Officer of the Most Excellent Order of the British Empire","Mode en module",,NULL,"1"
"411","11","Erelid BNO","Mode en module",,NULL,"1"
"412","11","Piet Zwart Prijs BNO","Mode en module",,NULL,"1"
"413","11","Stankowski Prijs","Mode en module",,NULL,"1"
"414","11","Ridder in de Orde van de Nederlandse Leeuw","Mode en module",,NULL,"1"
"415","11","Erelid Deutsche Werkbund","Mode en module",,NULL,"1"
"416","11","Honorary Membership Brno","Mode en module",,NULL,"1"
"417","11","Honorary Fellow, Society of Graphic Designers, Groot Brittannië","Mode en module",,NULL,"1"
"418","11","Ridder in de Orde van Leopold II, België","Mode en module",,NULL,"1"
"419","11","Werkmanprijs","Mode en module",,NULL,"1"
"420","11","Officier in de Orde van Oranje Nassau","Mode en module",,NULL,"1"
"421","12","Prentendoos - nr. 193, binnenmaat 430 x 305 x 60 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"422","12","Affichemap - nr. 301, binnenmaat 920 x 605 x 10 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"423","12","Standaard staande archiefdoos - nr. 169, binnenmaat 385 x 260 x 114 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"424","12","Prentendoos - nr. 194, binnenmaat 430 x 605 x 60 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"425","12","Affichemap - nr. 300, binnenmaat 1203 x 872 x 10 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"426","12","Standaard liggende archiefdoos - nr. 186, binnenmaat 354 x 228 x 80 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"427","12","Prentendoos - nr. 195, binnenmaat 855 x 605 x 60 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"428","5","inkjet",,,NULL,"1"
"429","4","Tandjung Sailor",,,NULL,"1"
"430","12","Tekeningendoos - nr. 600, binnenmaat 1180 x 125 x 135 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"431","4","Renkum",,,NULL,"1"
"432","4","Bristol, USA",,,NULL,"1"
"434","12","Tekeningendoos - nr. 601, binnenmaat 1285 x 125 x 135 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"435","12","Prentendoos - nr. 407, binnenmaat 450 x 330 x 180 mm","Jansen - Wijsmuller &amp; Beuns bv",,NULL,"1"
"437","1","Nieuw item",NULL,NULL,NULL,"0"
"438","1","schrijfblok",,,NULL,"1"
"439","4","Coalville, Engeland",,,NULL,"1"
"440","6","verf",,,NULL,"1"
"441","391","postzegels","300037321",,NULL,"1"
"442","391","tentoonstellingen","300054766",,NULL,"1"
"443","391","televisieprogramma’s","300263432",,NULL,"1"
"444","391","openingen (gebeurtenissen)","300054769",,NULL,"1"
"445","391","toneelgezelschappen","300266039",,NULL,"1"
"446","391","aardewerk","300140803",,NULL,"1"
"447","391","beeldende kunst","300054154",,NULL,"1"
"448","391","liefdadigheidsinstellingen","300026005",,NULL,"1"
"449","391","fietsen (transportmiddelen)","300212636",,NULL,"1"
"450","391","boeken","300028051",,NULL,"1"
"451","391","festivals","300073472",,NULL,"1"
"452","391","zeilen (activiteit)","300239494",,NULL,"1"
"453","391","beeldhouwwerken (beeldmateriaal)","300047090",,NULL,"1"
"454","391","auto's","300178739",,NULL,"1"
"455","391","romanschrijvers","300179382",,NULL,"1"
"456","391","steden","300008389",,NULL,"1"
"457","391","stedelijke geschiedenis","300054404",,NULL,"1"
"458","391","politiek","300055537",,NULL,"1"
"459","391","theaters","300007117",,NULL,"1"
"460","391","kolenmijnen","300000396",,NULL,"1"
"461","391","luciferboekjes","300055099",,NULL,"1"
"462","391","orkesten (ensembles)","300205073",,NULL,"1"
"463","391","concertgebouwen","300007102",,NULL,"1"
"464","391","onderzoeken (uitzoeken)","300137546",,NULL,"1"
"465","391","herdenkingen","300214143",,NULL,"1"
"466","391","wereldoorlogen","300247280",,NULL,"1"
"467","391","rooms-katholicisme","300073730",,NULL,"1"
"468","391","jeugd","300025944",,NULL,"1"
"469","391","porselein","300010662",,NULL,"1"
"470","391","automatisering","300056084",,NULL,"1"
"471","391","telefoonsystemen","300008615",,NULL,"1"
"472","391","cake","300255019",,NULL,"1"
"473","391","kunstschilders","300025136",,NULL,"1"
"474","391","privécollecties","300146236",,NULL,"1"
"475","391","bibliotheken (gebouwen)","300006824",,NULL,"1"
"476","391","enquÃªteformulieren","300027265",,NULL,"1"
"477","391","drukkerijen","300006247",,NULL,"1"
"478","391","examens","300026936",,NULL,"1"
"479","391","middelbare scholen","300006603",,NULL,"1"
"480","391","onderwijs","300054360",,NULL,"1"
"481","391","musea","300005768",,NULL,"1"
"482","391","reclame","300054347",,NULL,"1"
"483","391","handboeken","300026395",,NULL,"1"
"484","391","muziek","300054146",,NULL,"1"
"485","391","wereldtentoonstellingen","300054778",,NULL,"1"
"486","391","instellingen","300026004",,NULL,"1"
"487","391","ballet","300054145",,NULL,"1"
"489","391","dans","300054144",,NULL,"1"
"490","391","liederen","300167056",,NULL,"1"
"491","391","kleding","300178802",,NULL,"1"
"492","391","Italiaans","300111198",,NULL,"1"
"493","391","film (uitvoerende kunsten)","300054141",,NULL,"1"
"494","391","circussen (voorstellingen)","300069235",,NULL,"1"
"495","391","jubilea","900018301",,NULL,"1"
"496","391","non-fiction","300163411",,NULL,"1"
"497","391","installaties (beeldmateriaal)","300047896",,NULL,"1"
"499","391","vrouwen","300025943",,NULL,"1"
"500","391","premières","300069101",,NULL,"1"
"501","391","documentaires","300249172",,NULL,"1"
"502","391","films","300136900",,NULL,"1"
"504","391","magazines","300215389",,NULL,"1"
"505","391","voorstellingen (gebeurtenissen)","300069200",,NULL,"1"
"506","391","Duits","300111192",,NULL,"1"
"507","391","opera's","300255765",,NULL,"1"
"511","391","uitvoerende kunsten","300054140",,NULL,"1"
"512","391","programma's","300027240",,NULL,"1"
"513","391","Chinees","300018322",,NULL,"1"
"514","391","Barok","300021147",,NULL,"1"
"516","391","Japans","300018519",,NULL,"1"
"517","391","concerten","300069210",,NULL,"1"
"519","391","tragedies","300201026",,NULL,"1"
"520","391","openluchttentoonstellingen","300263274",,NULL,"1"
"521","391","feesten","300069614",,NULL,"1"
"522","391","Amerikaans","300107956",,NULL,"1"
"523","391","toneelstukken","300201028",,NULL,"1"
"524","391","componisten","300025671",,NULL,"1"
"525","391","choreografen","300025649",,NULL,"1"
"526","391","Russisch","300111276",,NULL,"1"
"527","391","Afrikaans","300015647",,NULL,"1"
"528","391","kunsten","300175240",,NULL,"1"
"529","391","gala's","300069099",,NULL,"1"
"530","391","Nederlands","300020929",,NULL,"1"
"531","391","architectuur (vakgebied)","300054156",,NULL,"1"
"532","391","Hongaars","300111195",,NULL,"1"
"533","391","mythologie (literair genre)","300055985",,NULL,"1"
"534","391","regisseurs","300025654",,NULL,"1"
"535","391","Frans","300111188",,NULL,"1"
"536","391","brochures","300248280",,NULL,"1"
"537","391","dansers","300025653",,NULL,"1"
"538","391","ontwerpen (designs)","300102051",,NULL,"1"
"539","391","affiches","00027221",,NULL,"1"
"540","391","fictie","300055918",,NULL,"1"
"541","391","catalogi","300026059",,NULL,"1"
"542","391","almanakken","300026705",,NULL,"1"
"543","391","herdenkingsprogramma's","300253341",,NULL,"1"
"544","391","theaterprogramma's","300027217",,NULL,"1"
"545","391","openluchttheaters","300007126",,NULL,"1"
"546","391","moraliteiten","300202564",,NULL,"1"
"547","391","wereldoorlog","300247280",,NULL,"1"
"548","391","kerk","300007466",,NULL,"1"
"549","391","bedrijfsimago","300195663",,NULL,"1"
"550","391","corporate identity","300195663",,NULL,"1"
"551","391","uitvinders","300025845",,NULL,"1"
"552","391","wetenschappers","300025788",,NULL,"1"
"553","391","kunstenaars","300025103",,NULL,"1"
"554","391","supermarkten","300005246",,NULL,"1"
"555","391","sporten (lichamelijke activiteiten)","300222725",,NULL,"1"
"556","391","rijkdom","300055767",,NULL,"1"
"557","391","armoede","300055307",,NULL,"1"
"558","391","koninklijke paleizen","300005743",,NULL,"1"
"559","391","toegepaste kunst","300054168",,NULL,"1"
"560","391","koloniën","300235115",,NULL,"1"
"561","391","vormgeving","300054171",,NULL,"1"
"562","391","grafische vormgeving","300054181",,NULL,"1"
"563","391","industriële vormgeving","300054183",,NULL,"1"
"564","391","modeontwerp","300138708",,NULL,"1"
"565","391","binnenhuisarchitectuur","300054184",,NULL,"1"
"566","391","bruggen","300007836",,NULL,"1"
"567","391","voetbalsport","300222801",,NULL,"1"
"570","391","rampen","300182939",,NULL,"1"
"571","391","rampenbestrijding","300252407",,NULL,"1"
"572","391","hofhoudingen (sociale groepen)","300236519",,NULL,"1"
"573","391","gemeenschapsontwikkeling","300055433",,NULL,"1"
"574","391","neoplastisch","300021262",,NULL,"1"
"575","391","De Stijl","300021259",,NULL,"1"
"576","391","vastgoedontwikkeling","300055444",,NULL,"1"
"577","391","landgoed","300000238",,NULL,"1"
"578","391","technologie","300056069",,NULL,"1"
"580","391","spoorwegstations","300007783",,NULL,"1"
"581","391","spoorwegen","300008591",,NULL,"1"
"582","391","parkeerplaatsen","300007826",,NULL,"1"
"583","391","openbaar vervoer","300155835",,NULL,"1"
"585","391","infrastructuur","300008553",,NULL,"1"
"586","391","culturele centra","300005135",,NULL,"1"
"587","391","theater (vakgebied)","300054148",,NULL,"1"
"588","391","schilderijen","300177435",,NULL,"1"
"589","391","adresboeken","300026689",,NULL,"1"
"591","391","fotografie","300054225",,NULL,"1"
"593","391","fondsverstrekkende instanties","300150080",,NULL,"1"
"594","391","seminars","300069755",,NULL,"1"
"595","391","veiligheid","300055282",,NULL,"1"
"596","391","ruimtelijke ordening van het platteland","300054434",,NULL,"1"
"597","391","essays","300026291",,NULL,"1"
"598","391","zorginstellingen","300006707",,NULL,"1"
"599","391","parken (openbare ruimten)","300008187",,NULL,"1"
"602","391","gemeentelijke overheid","300055500",,NULL,"1"
"603","391","bouwvakkers","300025001",,NULL,"1"
"604","391","timmerlieden","300025008",,NULL,"1"
"605","391","bedrijven","300160084",,NULL,"1"
"606","391","technische handboeken","300026413",,NULL,"1"
"607","391","kadasters","300136962",,NULL,"1"
"608","391","middelbaar onderwijs","300054368",,NULL,"1"
"609","391","hoger onderwijs","300054370",,NULL,"1"
"610","391","notariële documenten","300164785",,NULL,"1"
"611","391","politieke instanties","300261086",,NULL,"1"
"612","391","Japanse prent-stijlen","300106750",,NULL,"1"
"613","391","lager onderwijs","300054366",,NULL,"1"
"614","391","vakopleiding","300188826",,NULL,"1"
"616","391","relatiegeschenken","300233979",,NULL,"1"
"617","391","oeuvre","300070186",,NULL,"1"
"618","391","investeringen","300055727",,NULL,"1"
"619","391","gidsen (documenten)","300026300",,NULL,"1"
"620","391","eeuwfeesten","300190366",,NULL,"1"
"621","391","ministeries","300006004",,NULL,"1"
"622","391","milieubeheer","300054238",,NULL,"1"
"623","391","directeuren","300025431",,NULL,"1"
"627","391","nieuwbouwprojecten","300000498",,NULL,"1"
"628","391","warenhuizen","300005344",,NULL,"1"
"629","391","politieagenten","300025867",,NULL,"1"
"630","391","landbouwuitrusting","300233315",,NULL,"1"
"631","391","alcohol","300015224",,NULL,"1"
"632","391","collectieve arbeidsovereenkomsten","300027630",,NULL,"1"
"633","391","wetgeving","300055570",,NULL,"1"
"634","391","stichtingen (organisaties)","300025985",,NULL,"1"
"635","391","baggeren","300053705",,NULL,"1"
"636","391","bergingswerk","900017296",,NULL,"1"
"637","391","rede","300055194",,NULL,"1"
"638","391","nieuwjaarsdag","300069456",,NULL,"1"
"639","391","bewegwijzering","300193977",,NULL,"1"
"640","391","fietsen (transportmiddelen)","300212636",,NULL,"1"
"641","391","ziekenhuizen","300006676",,NULL,"1"
"642","391","pictogrammen (tekens)","300124411",,NULL,"1"
"643","391","jaarboeken","300026646",,NULL,"1"
"644","391","medische centra","300006653",,NULL,"1"
"645","391","bussen (voertuigen)","300212677",,NULL,"1"
"646","391","kabeltelevisie","300265089",,NULL,"1"
"647","391","antennes","300253498",,NULL,"1"
"648","391","televisie","300249920",,NULL,"1"
"649","391","schetsjes","300075467",,NULL,"1"
"650","391","schetsen (techniek)","300053576",,NULL,"1"
"651","391","schetsen (beeldende werken)","300015617",,NULL,"1"
"652","391","burgemeesters","300025468",,NULL,"1"
"654","391","scheepsarcheologie","900022620",,NULL,"1"
"655","391","archeologie","300054328",,NULL,"1"
"657","391","kantoorgebouwen","300007043",,NULL,"1"
"658","391","bouwkunde","300265672",,NULL,"1"
"659","391","hongersnood","900021074",,NULL,"1"
"660","391","woonhuizen","300005433",,NULL,"1"
"661","391","woningen","300005425",,NULL,"1"
"662","391","huisvesting","300000283",,NULL,"1"
"663","391","bankwezen","300054348",,NULL,"1"
"664","391","brouwerijen","300006341",,NULL,"1"
"667","391","economie","300054359",,NULL,"1"
"668","391","zuivelproducten","900017725",,NULL,"1"
"669","391","Psychedelische kunst","300112743",,NULL,"1"
"671","391","gitaristen","300235042",,NULL,"1"
"672","391","bladmuziek","300026430",,NULL,"1"
"673","391","novellen","300202569",,NULL,"1"
"674","391","Spaans","300111215",,NULL,"1"
"675","391","libretto's","300026424",,NULL,"1"
"676","391","toneelschrijvers","300025511",,NULL,"1"
"678","391","uitlenen (collectiebeheer)","300155326",,NULL,"1"
"679","391","parabels","300185342",,NULL,"1"
"680","391","Kroatisch","300263655",,NULL,"1"
