"id","fk_lijsten","fk_object","fk_persoon_instelling","ranking","is_ontwerp"
"6310","27","3792","941",NULL,"1"
"6311","85","3792","958",NULL,NULL
"6314","27","3794","941",NULL,"1"
"6315","27","3794","954",NULL,"1"
"6316","85","3794","974",NULL,NULL
"6332","27","3799","1292",NULL,"1"
"6333","27","3800","1292",NULL,"1"
"6334","27","3801","1292",NULL,"1"
"6335","27","3802","1292",NULL,"1"
"6336","27","3803","1292",NULL,"1"
"6337","27","3804","1292",NULL,"1"
"6340","27","3806","1292",NULL,"1"
"6341","27","3807","1292",NULL,"1"
"6342","27","3808","1292",NULL,"1"
"6343","27","3809","1292",NULL,"1"
"6345","27","3811","1292",NULL,"1"
"6353","27","3816","940",NULL,"1"
"6354","27","3817","1292",NULL,"1"
"6355","27","3818","940",NULL,"1"
"6356","27","3818","942",NULL,"1"
"6357","85","3818","1021",NULL,NULL
"6358","27","3819","1292",NULL,"1"
"6359","85","3819","1021",NULL,NULL
"6360","27","3820","1292",NULL,"1"
"6361","85","3820","1021",NULL,NULL
"6362","27","3821","1292",NULL,"1"
"6363","25","3821","1022",NULL,NULL
"6364","85","3821","1021",NULL,NULL
"6365","27","3822","1292",NULL,"1"
"6366","85","3822","1021",NULL,NULL
"6367","27","3823","1292",NULL,"1"
"6368","85","3823","1021",NULL,NULL
"6369","27","3824","1292",NULL,"1"
"6370","85","3824","1021",NULL,NULL
"6371","27","3825","1292",NULL,"1"
"6372","25","3825","1022",NULL,NULL
"6373","85","3825","1021",NULL,NULL
"6374","27","3826","1292",NULL,"1"
"6375","25","3826","1022",NULL,NULL
"6376","85","3826","1021",NULL,NULL
"6377","27","3827","1292",NULL,"1"
"6378","85","3827","1021",NULL,NULL
"6379","27","3828","1292",NULL,"1"
"6380","85","3828","1021",NULL,NULL
"6381","27","3829","1292",NULL,"1"
"6382","85","3829","1021",NULL,NULL
"6383","27","3830","1292",NULL,"1"
"6384","25","3830","1022",NULL,NULL
"6385","85","3830","1021",NULL,NULL
"6386","27","3831","1292",NULL,"1"
"6387","25","3831","1022",NULL,NULL
"6388","85","3831","1021",NULL,NULL
"6389","27","3832","1292",NULL,"1"
"6390","85","3832","1021",NULL,NULL
"6391","27","3833","1292",NULL,"1"
"6392","25","3833","1022",NULL,NULL
"6393","85","3833","1021",NULL,NULL
"6394","27","3834","1292",NULL,"1"
"6395","85","3834","1021",NULL,NULL
"6396","27","3835","1292",NULL,"1"
"6397","85","3835","1021",NULL,NULL
"6398","27","3836","1292",NULL,"1"
"6399","85","3836","1021",NULL,NULL
"6400","27","3837","1292",NULL,"1"
"6401","25","3837","1022",NULL,NULL
"6402","85","3837","1021",NULL,NULL
"6403","27","3838","1292",NULL,"1"
"6404","85","3838","1021",NULL,NULL
"6405","27","3839","1292",NULL,"1"
"6406","85","3839","1021",NULL,NULL
"6407","27","3840","1292",NULL,"1"
